dpt_promotion_id,promotion_code,promotion_name,transaction_promo_cashback_amount
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
d6d58a75dd5d629a6db1cb9f383f468502bfe507d1352a7c263d579b2257013f,,,150000.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
492c51e6c6a4392b2758d93961bee0a778b42151644ebc4581847935d4a56119,VISAPPRNC,PAPERVISA - Non Corporate,16343.999999999998
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
657348cf65794dac63887d289733c45a553049b766407401d319773d06f2b987,,,45000.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
35f36305f75d6878d2faef1d65872b3110d2cc67308839088d56575589bdc4cf,VISAPPRSCNC,VISAPAPER Supply-Chain Non Corporate,14375.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
